반복 회차 (Iteration),주문 번호 (k),도착 시간 (t_k),작업 수량 (n_k),할당 랙 (r),할당 CP (c),완료 시간 (E_k)
6,9,49.0,1,1,28,57.6
6,10,49.1,1,4,61,55.63
6,11,66.62,1,2,36,74.37
6,12,75.55000000000001,1,3,51,82.1
6,13,76.75,1,0,8,84.01
6,14,77.75,1,4,70,85.88
6,15,78.76,1,1,21,85.91
6,16,80.58000000000001,1,1,24,92.94
6,17,84.30000000000001,1,3,52,90.89
6,18,87.12,1,0,7,93.71
6,19,88.84,1,2,34,97.97
6,20,93.58000000000001,1,5,81,101.33
6,21,94.33000000000001,1,5,86,107.96
6,22,96.06,1,0,5,102.61
6,23,98.34,1,3,53,105.6
6,24,101.38000000000001,1,3,55,112.23
6,25,109.07000000000001,1,1,29,117.6
6,26,110.18,1,3,54,119.26
6,27,113.79,1,1,17,123.29
6,28,118.28,1,3,46,124.29
6,29,118.52000000000001,2,4,71,133.28
6,30,123.2,1,4,65,138.93
6,31,124.13000000000001,2,5,82,137.61
6,32,124.47,2,0,13,138.63
6,33,139.34,1,5,84,148.47
6,34,156.19,1,0,10,163.72
6,35,164.45000000000002,1,1,23,172.31
6,36,166.27,1,5,79,175.4
6,37,166.78,1,4,63,174.64
6,38,172.55,1,5,77,181.09
6,39,175.45000000000002,1,4,73,183.58
6,40,176.1,1,0,14,184.03
6,41,179.51000000000002,1,0,0,188.7
6,42,179.69,1,4,67,189.27
6,43,191.69,1,0,1,197.62
6,44,193.19,1,5,76,200.32
6,45,198.62,1,5,78,207.08
6,46,200.49,1,1,15,206.66
6,47,204.16,2,2,37,217.64
6,48,208.11,1,2,32,223.33
6,49,209.14000000000001,1,5,89,218.27
6,50,226.6,1,2,33,235.06
6,51,234.06,1,3,50,240.61
6,52,248.09,1,3,48,255.35
6,53,259.34999999999997,1,2,41,268.08
6,54,263.9,1,3,49,271.83
6,55,276.65,1,0,2,283.24
6,56,277.10999999999996,1,5,75,283.88
6,57,278.2,1,1,19,286.73
6,58,278.44,1,2,44,287.57
6,59,280.4,1,2,31,292.6
6,60,282.85999999999996,1,1,18,293.09
6,61,284.45,1,1,27,299.72
6,62,293.27,1,0,9,301.2
6,63,295.47999999999996,1,4,60,301.65
6,64,297.12,1,3,45,302.69
6,65,301.03999999999996,1,0,6,307.59
6,66,301.79999999999995,1,2,38,310.26
6,67,309.9,1,2,43,318.63
6,68,310.28999999999996,1,5,88,319.02
6,69,331.96,1,2,39,341.09
6,70,339.34999999999997,1,0,11,346.88
6,71,340.46,1,4,66,347.61
6,72,340.48999999999995,1,1,26,348.62
6,73,348.94,1,0,4,356.87
6,74,355.07,1,4,72,363.2
6,75,361.59999999999997,1,5,83,370.06
6,76,368.97999999999996,1,0,3,376.24
6,77,369.35999999999996,1,4,64,377.89
6,78,371.58,1,2,30,378.35
6,79,372.2,1,3,57,379.73
6,80,382.14,1,0,12,389.67
6,81,387.02,1,5,80,394.77
6,82,389.03,1,4,68,396.89
6,83,389.35999999999996,1,4,62,402.58
6,84,391.21999999999997,1,3,59,399.15
6,85,393.19,2,1,20,405.99
6,86,399.72999999999996,1,5,87,408.46
6,87,404.79999999999995,1,4,69,413.33
6,88,415.71,1,2,40,424.44
6,89,418.90999999999997,3,1,16,435.5
7,0,0.0,1,0,4,7.93
7,1,15.049999999999999,1,4,74,23.58
7,2,21.63,1,5,85,30.36
7,3,26.2,1,5,84,37.39
7,4,27.04,1,3,59,34.97
7,5,27.889999999999997,1,1,15,34.06
7,6,28.189999999999998,1,5,87,44.02
7,7,38.25,1,1,29,46.78
7,8,42.839999999999996,1,1,22,52.47
7,9,49.0,1,1,20,58.12
